Description	CCS Group	ICD9	CCS
CORNEAL REPAIR NEC	Other therapeutic procedures on eyelids, conj	1159	019
Acute pyelonephritis without lesion of renal medullary necrosis	Other diagnostic procedures on musculoskeleta	59010	159
Acute pyelonephritis with lesion of renal medullary necrosis	Other diagnostic procedures on musculoskeleta	59011	159
Red cell survival study;	Other radioisotope scan	78130	210
Intervertebral disc disorder with myelopathy, lumbar region	Arterial blood gases	72273	205
Intervertebral disc disorder with myelopathy, thoracic region	Arterial blood gases	72272	205
Intervertebral disc disorder with myelopathy, cervical region	Arterial blood gases	72271	205
Abnormal glandular Papanicolaou smear of vagina	Other non-OR therapeutic procedures on respir	79510	041
Vaginal high risk human papillomavirus (HPV) DNA test positive	Other OR therapeutic nervous system procedure	79515	009
Other abnormal Papanicolaou smear of vagina and vaginal HPV	Other OR therapeutic nervous system procedure	79519	009
JOINT BIOPSY NEC	Other diagnostic procedures on musculoskeleta	8039	159
Chronic diastolic heart failure	Indwelling catheter	42832	108
Acute on chronic diastolic heart failure	Indwelling catheter	42833	108
BREAST TISSU DESTRUC NOS	Lumpectomy, quadrantectomy of breast	8520	166
benzoyl peroxide	Diagnostic endocrine procedures	1418	011
Extrinsic asthma with (acute) exacerbation	Diagnostic dilatation and curettage (D&C)	49302	128
T7-T12 level with unspecified spinal cord injury	Other diagnostic procedures (interview, evalu	95215	227
T1-T6 level with unspecified spinal cord injury	Other diagnostic procedures (interview, evalu	95210	227
Damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	66560	195
Tympanosclerosis involving tympanic membrane only	Other bowel diagnostic procedures	38501	092
Other noxious influences affecting fetus or newborn via placenta or breast milk	Cancer chemotherapy	76079	224
Tympanosclerosis, unspecified as to involvement	Other bowel diagnostic procedures	38500	092
ESOPHAGEAL OPERATION NEC	Nephrectomy, partial or complete	4299	104
Rupture of chordae tendineae	Nephrectomy, partial or complete	4295	104
Functional disturbances following cardiac surgery	Complications of surgical procedures or medical care	4294	238
(INJECT) LIG ESOPH VARIX (Begin 1990)	Nephrectomy, partial or complete	4291	104
Myocarditis, unspecified	Other gastrointestinal diagnostic procedures	4290	097
Cardiomegaly	Nephrectomy, partial or complete	4293	104
ESOPHAGEAL DILATION	Nephrectomy, partial or complete	4292	104
Gonadal dysgenesis	Other respiratory therapy	7586	217
Care involving other specified rehabilitation procedure	Rehabilitation care; fitting of prostheses; and adjustment of devices	V5789	254
Unstable lie, antepartum condition or complication	Intravenous pyelogram	65203	187
Unstable lie, delivered, with or without mention of antepartum condition	Intravenous pyelogram	65201	187
Syndactyly of toes without fusion of bone	Other respiratory therapy	75513	217
Syndactyly of fingers without fusion of bone	Other respiratory therapy	75511	217
Syndactyly of multiple and unspecified sites	Other respiratory therapy	75510	217
Carrier or suspected carrier of other venereal diseases	Thyroidectomy, partial or complete	V028	010
Unspecified chronic disease of tonsils and adenoids	Hysterectomy, abdominal and vaginal	4749	124
Other chronic disease of tonsils and adenoids	Hysterectomy, abdominal and vaginal	4748	124
Presence of intrauterine contraceptive device	Other organ transplantation	V4551	176
Adenoid vegetations	Hysterectomy, abdominal and vaginal	4742	124
Chronic disease of tonsils and adenoids - Chronic tonsillitis and adenoiditis	Hysterectomy, abdominal and vaginal	4740	124
Presence of other contraceptive device	Other organ transplantation	V4559	176
Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction	Other diagnostic procedures of urinary tract	43330	110
Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction	Procedures on the urethra	43331	109
Personal history of allergy to serum or vaccine	Allergic reactions	V147	253
Scotoma involving central area	Exploratory laparotomy	36841	089
Chronic periodontitis, localized	Disorders of teeth and jaw	52341	136
Chronic periodontitis, unspecified	Disorders of teeth and jaw	52340	136
Chronic periodontitis, generalized	Disorders of teeth and jaw	52342	136
NASAL FISTULA CLOSURE	Coronary thrombolysis	2182	046
NASAL LACERATION SUTURE	Coronary thrombolysis	2181	046
cefazolin	Coronary thrombolysis	2180	046
cefoxitin	Coronary thrombolysis	2189	046
Impotence of organic origin	Lumpectomy, quadrantectomy of breast	60784	166
Peyronie's disease	Lumpectomy, quadrantectomy of breast	60785	166
Closed fracture of unspecified part of radius (alone)	Pathology	81381	234
Closed fracture of unspecified part of forearm	Pathology	81380	234
Threatened abortion, delivered, with or without mention of antepartum condition	Mammography	64001	182
Threatened abortion, unspecified as to episode of care or not applicable	Mammography	64000	182
Other specified disorders of penis	Lumpectomy, quadrantectomy of breast	60789	166
Choroidal rupture	Peritoneal dialysis	36363	091
Acute pericarditis in diseases classified elsewhere	Other gastrointestinal diagnostic procedures	4200	097
Other disorders of kidney and ureter - Vesicoureteral reflux	Other OR therapeutic procedures on bone	5937	161
Congenital bronchiectasis	Other respiratory therapy	74861	217
Open supracondylar fracture of femur	Extracorporeal shock wave, other than urinary	82133	230
Old laceration of muscles of pelvic floor	Excision of skin lesion	6187	170
Vaginal enterocele, congenital or acquired	Excision of skin lesion	6186	170
labetalol	Excision of skin lesion	6185	170
Uterovaginal prolapse, unspecified	Excision of skin lesion	6184	170
Uterovaginal prolapse, complete	Excision of skin lesion	6183	170
Uterovaginal prolapse, incomplete	Excision of skin lesion	6182	170
Uterine prolapse without mention of vaginal wall prolapse	Excision of skin lesion	6181	170
prolapse of vaginal wall	Excision of skin lesion	6180	170
Open fracture of lower end of femur, unspecified part	Extracorporeal shock wave, other than urinary	82130	230
Pathological dislocation of joint, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71825	204
Unspecified genital prolapse	Excision of skin lesion	6189	170
genital prolapse nec	Excision of skin lesion	6188	170
Lipidoses	Hemodialysis	2727	058
Open wound of other and multiple sites of face, complicated	Other Laboratory	87359	235
Lipoprotein deficiencies	Hemodialysis	2725	058
MOUTH BIOPSY NOS	Varicose vein stripping, lower limb	2724	053
Hidradenitis	Nonoperative urinary system measurements	70583	200
Fox-Fordyce disease	Nonoperative urinary system measurements	70582	200
Dyshidrosis	Nonoperative urinary system measurements	70581	200
Pure hypercholesterolemia	Varicose vein stripping, lower limb	2720	053
Open wound of face, unspecified site, complicated	Other Laboratory	87350	235
Open wound of cheek, complicated	Other Laboratory	87351	235
Open wound of forehead, complicated	Other Laboratory	87352	235
Open wound of lip, complicated	Other Laboratory	87353	235
Open wound of jaw, complicated	Other Laboratory	87354	235
Unspecified adverse effect of other drug, medicinal and biological substance	Poisoning by other medications and drugs	99529	242
ORAL CAVITY DX PROC NEC	Hemodialysis	2729	058
Other disorders of lipoid metabolism	Hemodialysis	2728	058
Nonspecific abnormal results of function study of kidney	Other non-OR therapeutic procedures on muscul	7944	163
CLOSE REDUC-FEMUR EPIPHY	Treatment, fracture or dislocation of hip and	7945	146
Brachial neuritis or radiculitis NOS	Arterial blood gases	7234	205
Torticollis, unspecified	Arterial blood gases	7235	205
Cervicocranial syndrome	Arterial blood gases	7232	205
nafcillin	Arterial blood gases	7233	205
Spinal stenosis in cervical region	Arterial blood gases	7230	205
MICRO EXAM NOS	Superficial injury; contusion	9199	239
Other and unspecified superficial injury of other, multiple, and unspecified sites, without mention of infection	Superficial injury; contusion	9198	239
Nonspecific abnormal results of function study of liver	Excision of semilunar cartilage of knee	7948	151
CLS REDUC-SEP EPIPHY NEC	Residual codes; unclassified	7949	259
nalbuphine	Arterial blood gases	7238	205
HIGH FORCEPS OP NEC	Arterial blood gases	7239	205
Unspecified noninflammatory disorder of vagina	Other OR therapeutic procedures on skin and b	6239	175
Other specified noninflammatory disorders of vagina	Other OR therapeutic procedures on skin and b	6238	175
Leukorrhea, not specified as infective	Other OR therapeutic procedures on skin and b	6235	175
Old vaginal laceration	Other OR therapeutic procedures on skin and b	6234	175
Polyp of vagina	Other OR therapeutic procedures on skin and b	6237	175
Vaginal hematoma	Other OR therapeutic procedures on skin and b	6236	175
Leukoplakia of vagina	Other OR therapeutic procedures on skin and b	6231	175
Dysplasia of vagina	Other OR therapeutic procedures on skin and b	6230	175
Tight hymenal ring	Other OR therapeutic procedures on skin and b	6233	175
Stricture or atresia of vagina	Other OR therapeutic procedures on skin and b	6232	175
Aqueous misdirection	Abdominal paracentesis	36583	088
Other specified glaucoma	Abdominal paracentesis	36589	088
REMOV OTHER GENIT DEVICE	Poisoning by other medications and drugs	9779	242
silicones	Poisoning by other medications and drugs	9778	242
Duodenitis, without mention of hemorrhage	Repair of current obstetric laceration	53560	140
Duodenitis, with hemorrhage	Repair of current obstetric laceration	53561	140
OP RED-INT FIX RAD/ULNA	Residual codes; unclassified	7932	259
Poisoning by dietetics	Poisoning by other medications and drugs	9770	242
REMOV VAGINAL DIAPHRAGM	Poisoning by other medications and drugs	9773	242
Carrier or suspected carrier of typhoid	Thyroidectomy, partial or complete	V021	010
Human immunodeficiency virus, type 2 [HIV-2]	Insertion of catheter or spinal stimulator an	07953	005
CONTRAST PHLEBOGRAM NOS	Home Health Services	8860	236
CONTR PHLEBOGRAM-HD/NECK	Home Health Services	8861	236
Arthropathy associated with other infectious and parasitic diseases, site unspecified	Cardiac stress tests	71180	201
Arthropathy associated with other infectious and parasitic diseases, pelvic region and thigh	Cardiac stress tests	71185	201
Arthropathy associated with other infectious and parasitic diseases, lower leg	Cardiac stress tests	71186	201
Surveillance of contraceptive pill	Other organ transplantation	V2541	176
Other specified disorders of joint, site unspecified	Swan-Ganz catheterization for monitoring	71980	204
Other specified disorders of joint, shoulder region	Swan-Ganz catheterization for monitoring	71981	204
Other injury to liver without mention of open wound into cavity	Pathology	86409	234
Other specified disorders of joint, forearm	Swan-Ganz catheterization for monitoring	71983	204
Herpetic vulvovaginitis	Other diagnostic nervous system procedures	05411	007
Genital herpes, unspecified	Other diagnostic nervous system procedures	05410	007
Herpetic infection of penis	Other diagnostic nervous system procedures	05413	007
Herpetic ulceration of vulva	Other diagnostic nervous system procedures	05412	007
Injury to liver without mention of open wound into cavity, laceration, moderate	Other Laboratory	86403	235
Injury to liver without mention of open wound into cavity, laceration, minor	Pathology	86402	234
Injury to liver without mention of open wound into cavity, hematoma and contusn	Pathology	86401	234
Injury to liver without mention of open wound into cavity, unspecified injury	Pathology	86400	234
Other genital herpes	Other diagnostic nervous system procedures	05419	007
Injury to liver without mention of open wound into cavity laceration, unspecified	Pathology	86405	234
